NAME_0_GADM,ADM0_NAME_GAUL
Afghanistan,Afghanistan
Algeria,Algeria
Armenia,Armenia
Bangladesh,Bangladesh
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Central African Republic,Central African Republic
Chad,Chad
Colombia,Colombia
Cote d'Ivoire,Cote d'Ivoire
Cuba,Cuba
Democratic Republic of the Congo,Democratic Republic of the Congo
Djibouti,Djibouti
East Timor,Timor-Leste
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Ethiopia,Ethiopia
Gambia,Gambia
Ghana,Ghana
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Haiti,Haiti
Honduras,Honduras
India,India
Indonesia,Indonesia
Iran,Iran  (Islamic Republic of)
Iraq,Iraq
Jordan,Jordan
Kenya,Kenya
Kyrgyzstan,Kyrgyzstan
Laos,Lao People's Democratic Republic
Lesotho,Lesotho
Liberia,Liberia
Madagascar,Madagascar
Malawi,Malawi
Mali,Mali
Mauritania,Mauritania
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Nicaragua,Nicaragua
Niger,Niger
North Korea,Dem People's Rep of Korea
Pakistan,Pakistan
Palestina,West Bank
Peru,Peru
Philippines,Philippines
Republic of Congo,Congo
Rwanda,Rwanda
Sao Tome and Principe,Sao Tome and Principe
Senegal,Senegal
Sierra Leone,Sierra Leone
Somalia,Somalia
South Sudan,Sudan
Sri Lanka,Sri Lanka
Sudan,Sudan
Swaziland,Swaziland
Syria,Syrian Arab Republic
Tajikistan,Tajikistan
Tanzania,United Republic of Tanzania
Togo,Togo
Tunisia,Tunisia
Uganda,Uganda
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
